id;En;Es;De
;;;
Play_;Play;Jugar;
Options_;Options;Opciones;
Exit_;Exit;Salir;
Continue_;Continue;Continuar;
Night_;Night;Noche;
New_game;New Game;Nueva Partida;
Custom_night;Custom Night;Noche Personalizada;
Back_;Back;Atrás;
Ready_;Ready;Listo;
;;;
;;;
Options;;;
;;;
Mouse_title;Mouse Options;Opciones de Ratón;
Mouse_type;Mouse Type: ;Tipo de puntero:;
Mouse_hl_on;Highlight in cams;Resaltar en cámaras;
Mouse_hl_off;Don’t highlight in cams;No resaltar en cámaras;
Mouse_opacity;Mouse Opacity;Opacidad del Ratón;
Too_little_op;(full opacity while in menu);(Opacidad completa en el menú);
Sound_title;Sound Options;Opciones de Sonido;
Sound_master;Master;Maestro;
Sound_sfx;SFX;Efectos de sonido;
Sound_music;Music;Musica;
UI_title;UI Options;Opciones de IU;
UI_energy_con;Energy consumption;Consumo de Energía;
UI_energy_cust;Customize energy UI;Customizar IU de Energía;
UI_flashlight_con;Flashlight Battery;Batería de Linterna;
UI_flashlight_cust;Customize flashlight UI;Customizar IU de Linterna;
UI_fade_on;Fade out when not used;Desvanecer al no usar;
UI_fade_off;Don’t fade out;No desvanecer al no usar;
UI_fade_time;Fade time: ;Tiempo:;
UI_fade_speed;Fade speed: ;Velocidad:;
Language_title;Language;Lenguaje;Sprache
Audio_En;Audio: English;Audio: Inglés;
Audio_Es;Audio: Spanish;Audio: Español;
Language;English;Español;Deutsch
Misc_title;Misc;Varios;
Brightness;Brightness;Brillo;
Switch_doors_on;Switch doors when facing back;Cambiar puertas al mirar detrás;
Switch_doors_off;Don’t switch doors when facing back;No cambiar puertas al mirar detrás;
Auto_cam_lights_on;Automatically block cam lights;Bloquear las luces de las camaras;
Auto_cam_lights_off;Don’t automatically block cam lights;No bloquear las luces de las camaras;
Flick_down_cams_on;Flick mouse down for cams;Deslizar hacia abajo para camaras;
Flick_down_cams_off;Don’t flick mouse down for cams;No deslizar hacia abajo para camaras;
Text_speed;Text speed;Velocidad texto;
When_dead_night;When dead repeat night;Al morir repetir noche;
When_dead_shift;When dead repeat shift;Al morir repetir jornada;
When_dead_menu;When dead go to menu;Al morir ir al menu;
When_win_shift;When win go to next shift;Al ganar ir al siguiente dia;
When_win_menu;When win go to menu;Al ganar ir al menu;
save;Save;Guardar;
save_and_exit;Save and exit;Guardar y salir;
exit;Exit;Salir;
reset;Reset;Restaurar;
reset_to_default;Reset to default;Por defecto;
screen;Screen;Pantalla;
brightpanel;Adjust the brightness;Ajusta el brillo;
nosee;you should not see this;;
barelysee;you should barely see this;;
yessee;you should see this;;
;;;
;;;
Advices;;;
;;;
Adv_g_01;If you use to much energy at once, you will break the power!;;
Adv_g_02;Always keep some spare battery in your flashlight… Otherwise, you might get lost in the dark;;
Adv_g_03;Turn off the AC for some spare energy. You wont last long though, so use it wisely;;
Adv_g_04;The light in the office is really loud… And annoying;;
Adv_g_05;Remember to stay hydrated!;;
Adv_b_01;Bonnie will always come by the left, but you already knew that, don’t you?;;
Adv_b_02;I heard bonnie is very patient… One time he spent an hour in front of a door waiting for it to open;;
Adv_c_01;Chica will always come by the right, but you already knew that, don`t you?;;
Adv_c_02;Chica likes to wander around without a clear destination. I wonder if she even has one…;;
Adv_c_03;If you tun off the lights, there is a slight chance that she wont bother you;;
Adv_c_04;Chica wont go back when you close the door. Why would she? She seems happy in the warehouse;;
Adv_fr_01;Freddy does not like being watched on the cams. Specially within light;;
Adv_fr_02;Freddy is much noisier than the others. If you stay quiet, you could hear the footsteps;;
Adv_fr_03;Freddy can, and will, come both ways, but wont enter the office unless you are not watching;;
Adv_fx_01;Foxy cant go through doors, so he will use the duct system to travel through the place;;
Adv_fx_02;Foxy wont enter any duct with the heater on. It is a shame electricity is so expensive these days;;
